Date,Season,Kharar,Dera Bassi,Majari,Kharar_Trend,Kharar_SMA,Kharar_EWMA,Kharar_DES,Kharar_TES,Kharar_ARIMA,Dera Bassi_Trend,Dera Bassi_SMA,Dera Bassi_EWMA,Dera Bassi_DES,Dera Bassi_TES,Dera Bassi_ARIMA,Majari_Trend,Majari_SMA,Majari_EWMA,Majari_DES,Majari_TES,Majari_ARIMA
1996-02-29,POMRB,5.010000000000002,4.234999999999999,15.85,,,5.010000000000002,5.529988437825022,5.312653960713537,0.0,,,4.234999999999999,4.184126992182564,4.174324064614811,0.0,,,15.85,15.790108771120218,15.795387087665038,0.0
1996-05-31,PREMON,8.062000000000001,5.043333333333334,14.02,,,6.230800000000001,6.294422266304016,6.746478277611093,5.009993297567816,,,4.558333333333334,4.421311029019091,4.204425802598232,4.234968152011263,,,15.118,15.634431394589498,14.23202350727545,7.759276963069638e-05
1996-08-31,MONSOON,5.335000000000001,6.81,16.665,5.8925833333333335,,5.872480000000001,6.095839622251673,6.18050071954155,7.162678420342827,4.682291666666667,,5.459,4.982984408038863,3.681948865008482,4.712833660972589,15.3875,,15.7368,15.66906987580854,16.504341912359944,6.86337293129675e-05
1996-11-30,POMKH,5.046666666666667,2.715,15.04,5.640666666666667,5.863416666666668,5.542154666666668,5.870132714358007,5.546565397457624,5.390439365191802,4.673541666666667,4.700833333333333,4.3614,4.5741135579188095,5.967379439161043,5.668299341291088,15.631875,15.393749999999999,15.45808,15.590986517308144,15.050174900824036,8.158221958646036e-05
1997-02-28,POMRB,5.243333333333333,4.086666666666666,15.8,5.44375,5.92175,5.422626133333334,5.759479741641452,5.468302637079743,5.12084690123335,4.342708333333333,4.663749999999999,4.251506666666666,4.533711904872709,4.889041557724515,4.243450491922724,15.841875,15.38125,15.594848,15.569487676168967,16.39544547704554,15.85007362706152
1997-05-31,PREMON,5.8133333333333335,5.121666666666667,16.025,5.626583333333333,5.359583333333333,5.578909013333334,5.836982815187232,7.312443446891693,7.03365187833355,4.098958333333334,4.683333333333333,4.599570666666667,4.718655885575075,4.716270765308858,4.409769912463006,15.865625000000001,15.8825,15.7669088,15.566358444811984,14.541944395712337,13.997528774950808
1997-08-31,MONSOON,6.008333333333333,4.085,16.34,5.720875,5.527916666666666,5.750678741333333,5.948014779570434,5.303242875466045,4.711917901097833,4.072321428571429,4.002083333333333,4.3937424,4.649501199864916,4.091890673797498,4.726892804170238,15.789375,15.801250000000001,15.99614528,15.587704119237792,17.3076377385354,17.804294045774295
1997-11-30,POMKH,5.836,3.4900000000000007,15.555,5.721291666666667,5.725249999999999,5.7848072448,5.981419988182517,5.263537569055151,5.534946818296894,3.7678511904761907,4.195833333333334,4.0322454400000005,4.468953048229627,5.640408011884853,4.4322117389651465,15.569999999999999,15.930000000000001,15.819687168000002,15.555458841645445,15.58807615569638,14.161293862478736
1998-02-28,POMRB,5.208333333333333,3.0985714285714288,14.675,5.591916666666668,5.716499999999999,5.554217680213333,5.831278049503877,5.604771675962775,5.576085078702917,3.4037678571428573,3.9488095238095244,3.658775835428572,4.241661668412045,4.821104390111086,4.144114493388031,15.360625,15.648750000000003,15.361812300800002,15.463281543529867,16.453307928985463,16.655947810294343
1998-05-31,PREMON,5.851666666666668,3.674,15.395,5.228458333333333,5.726083333333333,5.673197274794667,5.900250582742448,7.0894056924156414,6.7082784335139145,3.0635595238095243,3.5868928571428578,3.664865501257143,4.1799051033432,4.432037186862782,3.8687757259379287,15.048124999999999,15.491250000000003,15.37508738048,15.42478477402114,16.163390077856683,14.797796705008723
1998-08-31,MONSOON,4.935,2.62,15.295,4.9275,5.45775,5.3779183648768,5.695767642074998,5.690489012854964,5.129947663887866,2.819779761904762,3.220642857142858,3.246919300754286,3.908886219695244,3.5341753868290056,3.9147964442947227,14.828750000000001,15.23,15.343052428288,15.381731662306967,16.67826279540279,16.71119975652885
1998-11-30,POMKH,4.001666666666667,2.233333333333333,14.1,4.867125000000001,4.999166666666667,4.827417685592747,5.286299260273951,5.136906350806401,5.025973579242039,2.73425,2.906476190476191,2.8414849137859046,3.6099021013068646,4.869422382213952,3.4941751560679917,14.7825,14.866249999999999,14.845831456972801,15.256915477267514,15.67472102841089,14.67361319866113
1999-02-28,POMRB,4.635000000000002,2.405,14.375,5.051541666666667,4.855833333333335,4.750450611355649,5.162492733507198,4.68385899114554,4.4267142920665385,2.7041666666666666,2.7330833333333335,2.6668909482715426,3.405728524547091,3.93595243567312,3.181399388999848,14.861875000000001,14.791250000000002,14.65749887418368,15.155037700103117,14.943948956834085,14.317828625976041
1999-05-31,PREMON,5.942,3.6833333333333336,15.325,5.398208333333334,4.878416666666668,5.22707036681339,5.435391704544316,6.083291407672203,5.307311671753007,2.7279166666666663,2.735416666666667,3.073467902296259,3.5101954963952613,3.5919189950572155,3.0504956914431336,15.067499999999999,14.773750000000003,14.924499324510208,15.123799366243512,15.613029945822188,15.430605711764922
1999-08-31,MONSOON,6.32,2.37,16.0,5.8263750000000005,5.224666666666669,5.664242220088035,5.7404921221470255,5.161108850366843,5.577906539475445,2.8847916666666666,2.6729166666666666,2.7920807413777555,3.3182626114216016,2.8937330137310395,3.3687244984739704,15.313125000000001,14.950000000000003,15.354699594706124,15.143236172306787,15.679924909073485,15.229225001376815
