,INDIA,INDIA_PROJECTION
1996-02-29,10.312641366222223,10.311285218494483
1996-05-31,7.3246654865357135,7.326254876882607
1996-08-31,5.018469294222222,5.0206395647587865
1996-11-30,5.602241068785715,5.603519353497867
1997-02-28,6.422381265814813,10.310614431544128
1997-05-31,7.228847413178572,6.818900908005283
1997-08-31,5.562265316222222,4.676565311686825
1997-11-30,5.803302837814816,5.356401125415491
1998-02-28,6.059270682074075,7.596039731647649
1998-05-31,6.798363554206897,7.06722472921594
1998-08-31,5.325779888750001,5.150630947101883
1998-11-30,5.214408318392857,5.396127152192869
1999-02-28,6.102858061678572,6.184677167192257
1999-05-31,7.666995593074073,6.626614037575381
1999-08-31,5.737283131714285,5.229298131686399
1999-11-30,6.027055999464286,5.328238947505234
2000-02-29,6.8987799223333335,6.40833354553853
2000-05-31,7.511462656250001,7.808325664108114
2000-08-31,5.6772592005357145,5.809395404665596
2000-11-30,6.331390951964285,5.947924349859531
2001-02-28,6.862920166178572,6.867539015683376
2001-05-31,8.242330417571429,7.696823617687558
2001-08-31,5.877064110407408,5.898849711779641
2001-11-30,6.247631973925928,6.416364895696562
2002-02-28,6.990649195555558,7.020923384920106
2002-05-31,8.345004072518519,8.226387151187948
2002-08-31,6.823927006592593,5.964126322023306
2002-11-30,7.0187427053333336,6.563183921924192
2003-02-28,7.659744140222223,7.43174559097647
2003-05-31,8.4963265205,8.912259336443478
2003-08-31,6.413452435444445,6.949286316274475
2003-11-30,5.877227733037037,7.060148665327176
2004-02-29,7.136424852962962,7.468803318018895
2004-05-31,8.356502260777777,8.356873462703078
2004-08-31,6.331197546296296,6.388733458637161
2004-11-30,6.456830543714285,6.1336948144431105
2005-02-28,7.511824553999999,7.304266563457853
2005-05-31,8.965908027896552,8.521272034911066
2005-08-31,7.026437406965518,6.550584385044327
2005-11-30,6.925976638655173,6.6526599530117085
2006-02-28,7.688268149551725,7.826382263533729
2006-05-31,8.717990669965518,9.22951225476787
2006-08-31,6.364120671896551,7.068461877083688
2006-11-30,6.961910696551724,6.8294080835433295
2007-02-28,7.8908496263793095,7.687967732517792
2007-05-31,8.522788205233336,8.884892808049859
2007-08-31,6.417555415100001,6.607321972811254
2007-11-30,7.019823268000001,6.9701772374488895
2008-02-29,7.4917474439,7.858159304913171
2008-05-31,8.699622962413791,8.579575028549199
2008-08-31,6.214970365,6.477198747608621
2008-11-30,6.703983440466668,6.965895009722598
2009-02-28,7.511459529633332,7.513621295565833
2009-05-31,8.869156793034483,8.576041519352431
2009-08-31,6.947007048033331,6.2666709910495495
2009-11-30,7.121005408333334,6.9296772964576165
2010-02-28,7.817877765275862,7.766459490524666
2010-05-31,9.019342525344829,9.106660802007836
2010-08-31,6.3342611368387125,6.9348161326196
2010-11-30,6.685024754066666,7.06915449953048
2011-02-28,7.543808737199999,7.6910545959066745
2011-05-31,8.493826076620689,8.852521744108026
2011-08-31,6.236110825000003,6.348211781612286
2011-11-30,6.762820555103447,6.661591850723894
2012-02-29,7.595244527666665,7.484826942578636
2012-05-31,8.945521267999998,8.53689303004528
2012-08-31,7.567091251931035,6.309247605389334
2012-11-30,7.318777345999999,7.039233837434538
2013-02-28,8.386844817137929,7.995556132199198
2013-05-31,9.137935458406249,9.434117556724345
2013-08-31,7.175170113758623,7.571010313705028
2013-11-30,7.105885138096772,7.393963142990543
2014-02-28,8.039782326700001,8.325867368038532
2014-05-31,9.180428453064515,9.182507269620091
2014-08-31,7.435882451999999,7.283042892586539
2014-11-30,7.186421618500002,7.248646604307511
2015-02-28,7.865698714133332,8.221228622287855
2015-05-31,8.911449317387095,9.246391583325606
2015-08-31,6.969959825933333,7.377255871097569
2015-11-30,7.33942061516129,7.0952947949374385
2016-02-29,9.022031253733331,7.903928867391445
2016-05-31,9.07235365664516,9.210679797037258
2016-08-31,6.633344879,7.301380323048068
2016-11-30,7.461532603399999,7.403221293580503
2017-02-28,8.5163730663,8.764530316643283
2017-05-31,9.379480735838712,9.014900226405969
2017-08-31,7.16977964710345,6.845138011415027
2017-11-30,7.015016983967742,7.580051405703603
2018-02-28,8.489506286931034,8.652259863241323
2018-05-31,11.604708699566665,9.305318465004914
2018-08-31,7.90643480258621,7.36070231900213
2018-11-30,8.874671507322581,7.6127486233573025
2019-02-28,,9.458110438206841
2019-05-31,,12.0698370155991
2019-08-31,,8.36326988463659
2019-11-30,,8.193924590546946
2020-02-29,,9.914932424504892
2020-05-31,,12.645848814345237
2020-08-31,,8.757686558126734
2020-11-30,,8.575851863345735
2021-02-28,,10.371754410802943
2021-05-31,,13.221860613091375
2021-08-31,,9.152103231616875
2021-11-30,,8.957779136144522
