,UK,UK_PROJECTION
1996-02-29,5.87,5.175935433869678
1996-05-31,6.4,7.107067557197732
1996-08-31,5.22,5.290378753587595
1996-11-30,4.58,4.935097544014488
1997-02-28,5.2,5.412181663500582
1997-05-31,6.39,6.936385528054652
1997-08-31,4.95,5.210179440004726
1997-11-30,6.07,4.789766109428733
1998-02-28,6.32,5.99140224345156
1998-05-31,6.56,7.960295117110401
1998-08-31,6.35,5.725503820827746
1998-11-30,4.6,5.597661392406759
1999-02-28,5.53,5.857004728234084
1999-05-31,9.02,7.4459405300615575
1999-08-31,7.3,6.258275079685939
1999-11-30,5.77,6.2458616031469125
2000-02-29,6.08,6.813203092942528
2000-05-31,7.33,8.458079878693207
2000-08-31,4.2,6.189807067742859
2000-11-30,5.85,5.042712193285655
2001-02-28,5.94,6.058128203012198
2001-05-31,7.57,7.812490645540441
2001-08-31,5.05,5.972866195892287
2001-11-30,6.05,5.243882042675067
2002-02-28,5.85,6.281014489498309
2002-05-31,7.19,7.934493988979353
2002-08-31,4.2,5.909786163874157
2002-11-30,5.85,4.889789991791214
2003-02-28,5.53,5.957551953283857
2003-05-31,9.02,7.522175197997435
2003-08-31,7.3,6.292706774477979
2003-11-30,5.77,6.264665094232967
2004-02-29,5.53,6.825570065138979
2004-05-31,9.02,8.1803044749495
2004-08-31,7.3,6.589953512936947
2004-11-30,5.77,6.426994495375331
2005-02-28,7.223636364,6.93233338810457
2005-05-31,13.20549296,9.145490520579603
2005-08-31,10.13041667,8.327608704101262
2005-11-30,10.42380282,8.44032652800704
2006-02-28,11.57075758,10.364148384194904
2006-05-31,12.97873016,14.017092900405629
2006-08-31,8.291818182,10.45736231864363
2006-11-30,9.168387097,8.911999218851154
2007-02-28,10.08784615,10.105801600754491
2007-05-31,12.86013889,13.046994977517068
2007-08-31,9.463611111,9.982330759559083
2007-11-30,8.12,9.093233754649072
2008-02-29,9.415846154,9.750195898873711
2008-05-31,11.035737699999999,12.426528028352811
2008-08-31,6.323650794,9.134689589038276
2008-11-30,7.664032258,7.449543010632022
2009-02-28,8.733387097,8.462645113786
2009-05-31,10.44295082,11.094001904994297
2009-08-31,9.253333332999999,8.348486879137646
2009-11-30,8.844137931,8.121900171163075
2010-02-28,9.093275862,9.439308143429093
2010-05-31,11.36482143,12.022401470877716
2010-08-31,7.0195,9.054512128604712
2010-11-30,7.539830508,7.667432147103762
2011-02-28,8.28,8.549700236623973
2011-05-31,9.3,10.923295952126407
2011-08-31,6.512881356,7.915919116826444
2011-11-30,8.144642857000001,6.855120687528384
2012-02-29,8.2004,8.289359394683455
2012-05-31,11.6998,10.684347414582065
2012-08-31,6.6527270000000005,8.554355899014826
2012-11-30,9.262241378999999,7.256366471444337
2013-02-28,10.62607143,9.05940488839775
2013-05-31,12.43084746,12.534623963472955
2013-08-31,6.752727273,9.61740292699755
2013-11-30,7.464347826,7.874512240196735
2014-02-28,8.465862069,8.651710623498381
2014-05-31,12.19133333,11.097677562639944
2014-08-31,9.57,8.893909302462852
2014-11-30,7.705,8.538843624949566
2015-02-28,8.215,9.197627102735083
2015-05-31,10.5831746,11.380616420759539
2015-08-31,9.033076923,8.521548305123869
2015-11-30,5.542051282,8.133583076854089
2016-02-29,7.62,7.951513647616838
2016-05-31,9.316862745,10.125169881504103
2016-08-31,7.291842105,7.560686724299275
2016-11-30,7.81490566,6.954053774583457
2017-02-28,9.672608696000001,8.20509293817625
2017-05-31,9.305714286,11.389088950947842
2017-08-31,6.858541667000001,8.128073593726059
2017-11-30,8.277627119,7.100966291256667
2018-02-28,6.2880952379999995,8.511278043646033
2018-05-31,16.35689655,9.85420167880728
2018-08-31,19.88666667,9.627815114136775
2018-11-30,10.50803922,12.819230531365973
2019-02-28,,13.282283740549437
2019-05-31,,17.123194730056795
2019-08-31,,13.149210556707908
2019-11-30,,12.20867197001701
2020-02-29,,13.650919742760712
2020-05-31,,17.595156528582777
2020-08-31,,13.509158263252571
2020-11-30,,12.540601717351949
2021-02-28,,14.019555744971989
2021-05-31,,18.067118327108755
2021-08-31,,13.869105969797236
2021-11-30,,12.872531464686885
