,AS,AS_PROJECTION
1996-02-29,3.3172,3.434958144759199
1996-05-31,2.836772908,3.176932676816166
1996-08-31,2.025511111,1.9039722876654228
1996-11-30,2.561133603,2.7777199848447762
1997-02-28,3.4086036039999996,3.443558699709887
1997-05-31,3.563799127,3.1138957018543105
1997-08-31,2.140675676,1.9955179983084117
1997-11-30,3.036121495,2.7860756979581973
1998-02-28,3.581836735,3.5616445107133963
1998-05-31,3.055586854,3.382203774218479
1998-08-31,1.8778350519999998,2.094960433034629
1998-11-30,2.821519608,2.9127105363518844
1999-02-28,3.6690291260000003,3.603342219761391
1999-05-31,4.1754726369999995,3.312335846769364
1999-08-31,1.9256923080000001,2.0849635745603274
1999-11-30,2.6821212119999998,2.971801175387319
2000-02-29,3.7203141360000003,3.721983959738661
2000-05-31,3.239591837,3.6768658046748124
2000-08-31,1.734401914,2.0466489320617542
2000-11-30,2.7241904760000004,2.8832900430397452
2001-02-28,3.501207729,3.7293694490854743
2001-05-31,3.274581281,3.5326383318136454
2001-08-31,2.185630631,1.9476540811993588
2001-11-30,2.629620853,2.8712504865693402
2002-02-28,3.5193301439999995,3.7000693385284134
2002-05-31,2.789560976,3.4928387220989254
2002-08-31,1.9745689659999999,2.0318009932985874
2002-11-30,2.9021834060000002,2.7845102947706537
2003-02-28,3.5327155169999997,3.650362188967395
2003-05-31,2.9367592589999996,3.2793525895584064
2003-08-31,1.869508929,2.027644204774606
2003-11-30,2.569464286,2.832208678556645
2004-02-29,3.4574654380000003,3.599441228269479
2004-05-31,2.43795122,3.155848935027967
2004-08-31,2.156203209,1.9534299842714444
2004-11-30,2.662682927,2.7390694841956686
2005-02-28,3.510528634,3.5510721429478096
2005-05-31,2.773761905,2.930398506443692
2005-08-31,1.7699038459999998,2.0350577161822443
2005-11-30,2.641509434,2.7052087093198445
2006-02-28,3.678762887,3.5242468899461814
2006-05-31,3.1841037739999996,2.8766498110479644
2006-08-31,2.525172414,1.9647022904009308
2006-11-30,3.008815166,2.7634116245819547
2007-02-28,3.671792453,3.702627320754876
2007-05-31,3.011530055,3.076552533204384
2007-08-31,1.802582418,2.2024347801948125
2007-11-30,2.8687301589999996,2.8529058310151707
2008-02-29,4.125991189,3.6915181203456067
2008-05-31,3.407,3.073940770954227
2008-08-31,1.615238095,2.103096664249885
2008-11-30,2.7142,2.8861947103146295
2009-02-28,4.275194175,3.852171262638995
2009-05-31,3.407,3.1966923900651554
2009-08-31,1.737103825,1.9563783372112193
2009-11-30,2.865281385,2.8590136932998633
2010-02-28,4.254034335,4.035872342422093
2010-05-31,3.407,3.295063957797275
2010-08-31,1.79595,1.9030846694308523
2010-11-30,2.698994709,2.8929225486563412
2011-02-28,3.875526316,4.135018755187859
2011-05-31,3.407,3.3337978036731397
2011-08-31,2.361956522,1.869552142465732
2011-11-30,2.833943662,2.879606121893775
2012-02-29,4.451062802,4.134457569700517
2012-05-31,3.407,3.451023539279671
2012-08-31,2.0217,2.078735157594572
2012-11-30,2.64294686,2.8996436142034447
2013-02-28,3.529509346,4.267978084179371
2013-05-31,3.885459768,3.4183121683770796
2013-08-31,2.116235955,2.0643198807915506
2013-11-30,2.8111458330000003,2.830685215713725
2014-02-28,3.459591837,4.069548830483293
2014-05-31,3.9610975610000003,3.598504204587177
2014-08-31,1.8108333330000002,2.0962005465038396
2014-11-30,2.7405714289999996,2.8208980348383035
2015-02-28,3.6109,3.8667399504196
2015-05-31,3.940601852,3.7159862298647126
2015-08-31,1.746342857,2.0036764611606857
2015-11-30,2.623050847,2.7914521106403556
2016-02-29,3.5489285710000003,3.7726630086101087
2016-05-31,4.394462366,3.7721421054795843
2016-08-31,2.253051948,1.9254348731927138
2016-11-30,3.135333333,2.7857299776432125
2017-02-28,4.0008196719999995,3.805781506665228
2017-05-31,4.150727273,4.106390679339832
2017-08-31,2.853584906,2.0847118404145544
2017-11-30,2.609532164,3.0100140133785422
2018-02-28,3.421513158,3.970049308468161
2018-05-31,3.7305,4.190261771119126
2018-08-31,1.294,2.350713345033078
2018-11-30,2.934915254,2.7896223087972274
2019-02-28,,3.702062612474366
2019-05-31,,3.9667365215919577
2019-08-31,,1.9887297159851782
2019-11-30,,2.8124661483293263
2020-02-29,,3.7224505794294465
2020-05-31,,3.988552062803027
2020-08-31,,1.9996519555136376
2020-11-30,,2.8278912257511486
2021-02-28,,3.742838546384526
2021-05-31,,4.010367604014098
2021-08-31,,2.0105741950420977
2021-11-30,,2.843316303172972
