,RJ,RJ_PROJECTION
1996-02-29,20.05248996,21.228379003656205
1996-05-31,20.99865819,22.77679111067282
1996-08-31,19.40343653,20.711962520791204
1996-11-30,19.69494709,19.632557744573447
1997-02-28,19.83269333,21.281380562450863
1997-05-31,21.15890646,22.833623161891587
1997-08-31,18.64817931,20.763610249383724
1997-11-30,19.46386719,19.68148334140536
1998-02-28,19.63139597,21.33438210785246
1998-05-31,20.86992084,22.890455198952694
1998-08-31,20.75069182,20.81525796092859
1998-11-30,20.66107879,19.730408949813015
1999-02-28,21.22968867,21.38738368164031
1999-05-31,22.00852905,22.94728728621359
1999-08-31,22.1847343,20.86690573138178
1999-11-30,22.38697006,19.779334607538637
2000-02-29,23.31052257,21.440385314720324
2000-05-31,23.66283355,23.004119442350483
2000-08-31,22.357034,20.91855356922778
2000-11-30,23.66426844,19.82826031686448
2001-02-28,24.073675,21.493386998722546
2001-05-31,24.98144531,23.060951638619485
2001-08-31,21.46957816,20.970201440419995
2001-11-30,22.32915,19.877186047498352
2002-02-28,22.37288092,21.546388676824286
2002-05-31,24.10057389,23.117783801504196
2002-08-31,23.30737637,21.021849260801574
2002-11-30,24.64822443,19.92611175643839
2003-02-28,24.05886095,21.59939037196606
2003-05-31,25.80840874,23.174616019852504
2003-08-31,21.2254,21.07349715568177
2003-11-30,6.0,19.97503749792317
2004-02-29,22.053,21.652391869742576
2004-05-31,23.713,23.23144798603
2004-08-31,21.2254,21.12514478599588
2004-11-30,18.904,20.023963008975933
2005-02-28,20.83377282,21.705393467953957
2005-05-31,22.37546512,23.288280068539297
2005-08-31,20.5121619,21.176792529084302
2005-11-30,20.11322612,20.072888619946117
2006-02-28,20.94833828,21.758395044652023
2006-05-31,22.57039003,23.345112142627407
2006-08-31,19.08448802,21.228440278782653
2006-11-30,19.42357759,20.1218142302477
2007-02-28,20.27702282,21.8113965995582
2007-05-31,22.44635754,23.401944184718644
2007-08-31,20.62218427,21.280087996433597
2007-11-30,20.91391906,20.170739838959808
2008-02-29,21.40129512,21.864398176928336
2008-05-31,23.09408627,23.458776270615743
2008-08-31,20.98050866,21.331735761077983
2008-11-30,21.69423747,20.219665480746894
2009-02-28,22.63858388,21.91739978225133
2009-05-31,23.48274971,23.5156083877267
2009-08-31,21.82772422,21.38338355167759
2009-11-30,21.72810142,20.26859115186441
2010-02-28,22.84243478,21.970401411066927
2010-05-31,24.46052564,23.572440518679016
2010-08-31,21.68986699,21.435031360339067
2010-11-30,20.94465416,20.317516830534775
2011-02-28,21.69852668,22.023403038997056
2011-05-31,23.9729813,23.629272633881946
2011-08-31,21.36301087,21.48667914104954
2011-11-30,21.05618889,20.36644248089341
2012-02-29,21.31170543,22.076404646186024
2012-05-31,22.73481352,23.686104735158974
2012-08-31,32.0,21.53832690211843
2012-11-30,19.90937644,20.4153682190116
2013-02-28,21.23442748,22.12940633448478
2013-05-31,23.58271318,23.742936926806525
2013-08-31,20.61312432,21.589974764735068
2013-11-30,20.71375831,20.46429383965535
2014-02-28,21.49473964,22.18240791717043
2014-05-31,22.81274269,23.799769008915845
2014-08-31,20.26191892,21.641622512742114
2014-11-30,19.83948315,20.51321945879837
2015-02-28,20.63090698,22.235409479606222
2015-05-31,22.11517635,23.85660105696659
2015-08-31,19.89513667,21.693270230471505
2015-11-30,20.66205747,20.562145049108153
2016-02-29,27.6336036,22.28841102963238
2016-05-31,22.237544699999997,23.91343317809661
2016-08-31,19.17701313,21.744918022245052
2016-11-30,20.08121577,20.611070706151594
2017-02-28,21.7730746,22.34141263638462
2017-05-31,21.78849206,23.970265218792232
2017-08-31,19.58332215,21.79656573560292
2017-11-30,18.81221729,20.659996299821035
2018-02-28,20.33375,22.394414166845895
2018-05-31,33.09607143,24.027097226237235
2018-08-31,21.31909091,21.848213528163207
2018-11-30,20.41556159,20.708921981415408
2019-02-28,,22.44741582442412
2019-05-31,,24.083929409009396
2019-08-31,,21.899861290936244
2019-11-30,,20.7578476235874
2020-02-29,,22.500417425304985
2020-05-31,,24.140761508351964
2020-08-31,,21.951509062299973
2020-11-30,,20.806773268763774
2021-02-28,,22.55341902618585
2021-05-31,,24.19759360769453
2021-08-31,,22.0031568336637
2021-11-30,,20.85569891394015
