,CH,CH_PROJECTION
1996-02-29,8.4625,7.948380068814925
1996-05-31,6.875,7.361680029320423
1996-08-31,5.795,9.035364043547697
1996-11-30,9.533333333,6.8287993144488714
1997-02-28,10.09666667,9.094740759954114
1997-05-31,6.787000000000001,8.205887409084438
1997-08-31,11.734000000000002,8.810126974777079
1997-11-30,7.3675,10.558045067480332
1998-02-28,7.0925,10.13640730057707
1998-05-31,6.683333332999999,7.236752760589973
1998-08-31,11.734000000000002,9.318815926591927
1998-11-30,6.56,9.076289005499099
1999-02-28,8.494,8.817894186616286
1999-05-31,10.64666667,7.450467393875566
1999-08-31,12.83571429,12.453266617356869
1999-11-30,12.95142857,9.552437979326458
2000-02-29,11.84571429,12.404471623009067
2000-05-31,12.47833333,11.79505414584458
2000-08-31,14.16,15.5676432094828
2000-11-30,12.18142857,12.463466247836042
2001-02-28,11.77666667,12.716470526569136
2001-05-31,13.67555556,12.323633423505186
2001-08-31,13.145,15.841123135699618
2001-11-30,10.665,12.555320210835268
2002-02-28,13.13666667,12.041232219215201
2002-05-31,12.92888889,13.050710109984296
2002-08-31,12.73875,14.8149610497802
2002-11-30,12.12375,11.949452575664122
2003-02-28,12.59833333,13.063571630648639
2003-05-31,12.925,13.147465338006587
2003-08-31,13.46166667,14.310935830939068
2003-11-30,12.85428571,12.447910908530307
2004-02-29,12.01714286,13.485555174920586
2004-05-31,12.895,13.280703814382466
2004-08-31,12.63166667,14.210583127764217
2004-11-30,12.76833333,12.46053464016859
2005-02-28,12.72666667,12.911546041986428
2005-05-31,13.01333333,13.47585464404054
2005-08-31,16.19857143,14.038115901424842
2005-11-30,16.44285714,14.05462945306012
2006-02-28,16.03428571,15.101017161854115
2006-05-31,13.92333333,16.05045770013101
2006-08-31,12.174000000000001,16.981483555379647
2006-11-30,12.252,14.547224855325245
2007-02-28,12.882,13.509686615183389
2007-05-31,12.25666667,13.07670605841734
2007-08-31,17.622,13.577627565262473
2007-11-30,18.5225,14.881610912252683
2008-02-29,18.57916667,16.423025948755317
2008-05-31,15.05125,16.776939413678146
2008-08-31,13.2125,18.936127086206163
2008-11-30,16.3175,16.475246295714776
2009-02-28,12.54714286,16.15594855772591
2009-05-31,16.97625,13.57970710051885
2009-08-31,18.63,16.309352326889815
2009-11-30,17.96363636,18.268177435911163
2010-02-28,14.686,16.723613859174407
2010-05-31,16.703,16.744792808572527
2010-08-31,15.423,17.885449712391754
2010-11-30,15.675999999999998,17.32385429039898
2011-02-28,15.828,14.949708558194011
2011-05-31,18.31181818,16.562310335627366
2011-08-31,16.19727273,17.642521405822084
2011-11-30,17.92636364,17.66256022908414
2012-02-29,20.47375,16.579314777661384
2012-05-31,16.43166667,19.729341191390613
2012-08-31,20.948,18.013416012651685
2012-11-30,21.99782609,20.20163446693855
2013-02-28,21.76631579,20.671232142377615
2013-05-31,24.16590909,20.553641498406016
2013-08-31,24.83454545,23.31714383569945
2013-11-30,25.04045455,24.714567574429147
2014-02-28,21.4395,24.334429934618193
2014-05-31,21.66857143,23.516932654656767
2014-08-31,27.34,23.641837528596973
2014-11-30,15.55466667,25.46831456538104
2015-02-28,17.37,20.67792412619558
2015-05-31,17.76625,19.94759941737024
2015-08-31,15.83071429,21.256979292949502
2015-11-30,21.69428571,16.748316312929404
2016-02-29,19.718125,18.806225386870278
2016-05-31,17.75555556,19.876965801107627
2016-08-31,13.73538462,20.26022656827617
2016-11-30,19.70214286,18.248234930520084
2017-02-28,21.65588235,17.80646561748317
2017-05-31,25.9425,19.04136915300841
2017-08-31,20.89166667,21.283632639105146
2017-11-30,23.62444444,24.24958912198514
2018-02-28,25.24846154,23.62538226225789
2018-05-31,45.83,24.948099853565868
2018-08-31,23.72111111,28.774496467671113
2018-11-30,37.245,30.79251178139714
2019-02-28,,33.3681857798033
2019-05-31,,41.866578084664596
2019-08-31,,28.299167779607856
2019-11-30,,34.042876315334695
2020-02-29,,34.307814424583896
2020-05-31,,43.03727496356105
2020-08-31,,29.084991663669133
2020-11-30,,34.981676796589255
2021-02-28,,35.24744306936449
2021-05-31,,44.20797184245751
2021-08-31,,29.87081554773041
2021-11-30,,35.920477277843816
