,BR,BR_PROJECTION
1996-02-29,3.9336800000000003,3.788203143844578
1996-05-31,5.00377193,5.21612931687948
1996-08-31,2.262396694,2.3181730394975046
1996-11-30,3.112279202,3.1145411066760853
1997-02-28,3.749878049,3.784616334354129
1997-05-31,5.091856678,5.04336588198781
1997-08-31,1.961254019,2.2974696611464687
1997-11-30,3.030730337,2.93075529492524
1998-02-28,3.3265625,3.6110731620258956
1998-05-31,4.727506925,4.679085890588829
1998-08-31,1.8535686269999998,2.081607553626484
1998-11-30,2.63940678,2.7775512286992443
1999-02-28,3.286051873,3.2425126637679003
1999-05-31,4.7517379680000005,4.4376665020197725
1999-08-31,1.684862385,1.9890616320669845
1999-11-30,2.596950147,2.6256366749319837
2000-02-29,3.430060606,3.148838990732242
2000-05-31,4.68301105,4.490510256650793
2000-08-31,1.9969740630000001,1.9216011944695703
2000-11-30,3.005781711,2.8260376570542873
2001-02-28,3.666127946,3.553279271791505
2001-05-31,5.110774193999999,4.90935446193757
2001-08-31,2.102947977,2.0977628742234087
2001-11-30,2.9179640719999997,3.0473746539705657
2002-02-28,3.1491869919999997,3.641023843645601
2002-05-31,4.751876833,4.675821164714129
2002-08-31,2.358825301,1.965330903978662
2002-11-30,3.11745509,3.0800291857667284
2003-02-28,3.662639752,3.715532946027408
2003-05-31,4.746930693,5.157763351717873
2003-08-31,2.2604803490000003,2.1358615027797425
2003-11-30,2.995589354,3.068333842766042
2004-02-29,3.558811475,3.6291500600820275
2004-05-31,4.743559322,4.976177186268777
2004-08-31,2.543954545,2.136109190360413
2004-11-30,3.452,3.201499559917753
2005-02-28,3.8555172410000003,3.9592731544124296
2005-05-31,5.27042623,5.389138439960045
2005-08-31,2.840141343,2.4242596800319434
2005-11-30,3.67347079,3.5441575712521667
2006-02-28,4.310166667,4.237309099618753
2006-05-31,5.3350684930000005,5.881349104121466
2006-08-31,2.957758007,2.638961054564042
2006-11-30,3.258413284,3.702180596661124
2007-02-28,4.2614385960000005,4.116608974871591
2007-05-31,5.370711462,5.661792603376387
2007-08-31,2.081751825,2.6743251413817517
2007-11-30,2.965960784,3.1028365166776304
2008-02-29,3.949111111,3.657600688537891
2008-05-31,5.224522822,5.059957572617966
2008-08-31,1.7745128209999999,2.414837110036521
2008-11-30,3.514493392,2.8201574422176203
2009-02-28,3.8923577239999996,3.82586069566867
2009-05-31,5.504220182999999,5.116646635294272
2009-08-31,3.387469388,2.3745243752260694
2009-11-30,3.5770042189999995,4.023096471254646
2010-02-28,4.731799163,4.529706886698366
2010-05-31,6.14836,6.182782382368159
2010-08-31,3.963053435,2.9171799417469444
2010-11-30,4.482988506,4.445974024917643
2011-02-28,5.025253623,5.406737114704906
2011-05-31,6.19440613,6.961184264182127
2011-08-31,2.98896679,3.3085160101945488
2011-11-30,3.2610852710000002,3.9637561044360736
2012-02-29,3.860311284,4.378297434540739
2012-05-31,5.761407407,5.4832557531806305
2012-08-31,3.2268,2.804935862921214
2012-11-30,3.789739777,3.692407574591969
2013-02-28,5.176548223,4.513199123856101
2013-05-31,5.501439791,6.509063930190425
2013-08-31,3.209150418,3.082844887344445
2013-11-30,3.2135263160000003,3.8041152202692468
2014-02-28,4.175906314,4.364011063652763
2014-05-31,5.506155462000001,5.5414008965252695
2014-08-31,2.74625,2.893516699856488
2014-11-30,3.2707306889999996,3.327748223765772
2015-02-28,4.078718447,4.1363978571083955
2015-05-31,5.476987768,5.3509297603035035
2015-08-31,3.497359098,2.8114477780430502
2015-11-30,4.388421053,3.678069560357494
2016-02-29,4.900783699,4.996450856592612
2016-05-31,6.173605547,6.484440002484586
2016-08-31,3.190872483,3.4120290994294593
2016-11-30,3.4569701989999997,3.8899853138405343
2017-02-28,4.158496835,4.490240481383018
2017-05-31,5.685157421,5.662586637940358
2017-08-31,2.935155763,3.041046047379583
2017-11-30,3.8702698410000003,3.4889072693387684
2018-02-28,4.64760355,4.461203908423337
2018-05-31,6.8575,5.990779024215785
2018-08-31,3.734136292,3.394047514611048
2018-11-30,5.584285714,4.217926433287957
2019-02-28,,5.8149461003933824
2019-05-31,,7.786818634269043
2019-08-31,,4.1209397812990884
2019-11-30,,4.831718344426133
2020-02-29,,5.835135561449963
2020-05-31,,7.8138309792998255
2020-08-31,,4.1352228662844155
2020-11-30,,4.848450473695632
2021-02-28,,5.855325022506545
2021-05-31,,7.840843324330607
2021-08-31,,4.1495059512697425
2021-11-30,,4.865182602965131
