,PB,PB_PROJECTION
1996-02-29,8.150973451,7.879262532892751
1996-05-31,8.671362319,8.844107175481216
1996-08-31,7.159136905,8.000345294351066
1996-11-30,8.013665689,8.148151077291779
1997-02-28,7.375131965,8.08738485782415
1997-05-31,8.711477987,8.519316439581873
1997-08-31,7.152307692000001,7.629284487736508
1997-11-30,8.094654087999999,8.122102848425834
1998-02-28,7.131374663,7.924973168174522
1998-05-31,7.393261538,8.594231688452885
1998-08-31,7.37504451,7.0418268074304695
1998-11-30,6.454230769,7.966123506265445
1999-02-28,6.703757962,7.012956064968565
1999-05-31,7.213527507999999,7.687371051344148
1999-08-31,7.547641791,6.887468602734696
1999-11-30,7.639492063,7.373878846746015
2000-02-29,7.258461538,7.424116962430057
2000-05-31,7.855945946,8.153384703515359
2000-08-31,7.932775801,7.726103920008926
2000-11-30,7.632342007,7.910795499125993
2001-02-28,8.081271478,7.610535406680201
2001-05-31,8.025542169,8.585826466145857
2001-08-31,7.7188416989999995,8.194603990610148
2001-11-30,8.37959854,7.966459822605673
2002-02-28,8.024615385,8.154027023845332
2002-05-31,9.281190476,8.590254291761363
2002-08-31,9.997222222000001,8.680272391511643
2002-11-30,9.477336066,9.425658399925217
2003-02-28,9.474879032,9.271539187053053
2003-05-31,9.503624454,10.182434373834738
2003-08-31,9.550933333,9.919160806156341
2003-11-30,9.511555556,9.604948555452342
2004-02-29,9.165720339,9.438311271293738
2004-05-31,9.986550218,9.894523496867258
2004-08-31,10.04966667,10.015832832731979
2004-11-30,9.884084507,9.930307806858977
2005-02-28,9.487281552999999,9.715902531052356
2005-05-31,10.32643564,10.32123575529902
2005-08-31,10.019744900000001,10.389713547060182
2005-11-30,9.63026178,10.119811292315152
2006-02-28,9.728306011,9.678468003466012
2006-05-31,10.22015464,10.470480729071173
2006-08-31,10.35954545,10.326211550297643
2006-11-30,10.06961111,10.168027970803298
2007-02-28,10.20027933,10.030760234725241
2007-05-31,10.58848168,10.800104989073233
2007-08-31,10.91917526,10.752909339778503
2007-11-30,11.26014925,10.591345472853133
2008-02-29,10.78775956,10.820694670275023
2008-05-31,11.62818182,11.427188016675535
2008-08-31,10.81169312,11.655399412600074
2008-11-30,11.04015306,11.249787994299437
2009-02-28,11.3209,10.920163502446984
2009-05-31,11.93517949,11.778987077822647
2009-08-31,11.97086486,11.666224286700883
2009-11-30,11.70747312,11.886654227575155
2010-02-28,11.17778351,11.74218404295465
2010-05-31,12.34088542,12.169217178911207
2010-08-31,11.58245399,12.10011597644274
2010-11-30,11.43296703,11.856522512018888
2011-02-28,11.32888325,11.502792876055432
2011-05-31,12.47457895,12.305134850460082
2011-08-31,11.02251572,12.022810226422603
2011-11-30,11.08044586,11.62084733721343
2012-02-29,11.175605099999999,11.299131300772785
2012-05-31,11.34391892,12.21471662145298
2012-08-31,15.96666667,11.21296237833214
2012-11-30,14.95726218,13.153003444847016
2013-02-28,14.46042328,13.833390904645332
2013-05-31,15.44321918,14.969578663341848
2013-08-31,14.70780731,16.458720916704657
2013-11-30,14.25066781,14.687295728682184
2014-02-28,13.28087156,14.117126040239116
2014-05-31,14.13452813,14.616858141966572
2014-08-31,15.28742515,15.033279923084608
2014-11-30,14.98095376,14.417295070708471
2015-02-28,14.44755747,14.0981425975622
2015-05-31,14.74631793,15.196050521095502
2015-08-31,15.71935484,15.882748867772365
2015-11-30,16.04597325,15.170132556112517
2016-02-29,17.12395973,14.869855725757892
2016-05-31,14.63090604,16.515765098200177
2016-08-31,14.42427509,16.78621910024484
2016-11-30,16.87567146,15.540386129400286
2017-02-28,16.39864303,15.822838044977738
2017-05-31,16.30451264,15.544557256627805
2017-08-31,15.4881362,16.689501190491132
2017-11-30,17.19628065,17.014400933793326
2018-02-28,16.89757534,16.587974485597176
2018-05-31,16.40705882,16.244108489475998
2018-08-31,16.43211155,16.56262705268247
2018-11-30,23.08289474,17.75184831452518
2019-02-28,,19.254232437924877
2019-05-31,,18.655943174896862
2019-08-31,,18.830512356995513
2019-11-30,,20.27540001739907
2020-02-29,,19.71282883125288
2020-05-31,,19.097659349273
2020-08-31,,19.27373823906978
2020-11-30,,20.74984333039934
2021-02-28,,20.17142522458089
2021-05-31,,19.539375523649134
2021-08-31,,19.71696412114404
2021-11-30,,21.224286643399616
