,CG,CG_PROJECTION
1996-02-29,5.113005618,5.23201874901168
1996-05-31,7.5544324320000005,7.449050285642996
1996-08-31,2.381147059,2.953323935281313
1996-11-30,3.9626300580000002,3.6814764639411894
1997-02-28,5.557162921000001,5.050217289498306
1997-05-31,7.730796702999999,7.471089122368294
1997-08-31,3.3227575760000003,2.9204373888738813
1997-11-30,3.8346175639999998,4.11017599915728
1998-02-28,4.386151685,5.4240890427638275
1998-05-31,6.687055556000001,7.3283709128087295
1998-08-31,2.807209302,2.7927978222373024
1998-11-30,3.2177077360000004,3.7146464815172533
1999-02-28,4.275631399,4.750101111416978
1999-05-31,7.470549133,6.662439800092647
1999-08-31,2.7046202530000003,2.7184989655383727
1999-11-30,3.3964329269999998,3.55762511371487
2000-02-29,5.11057971,4.6842016237642286
2000-05-31,7.045471125,7.086271003506582
2000-08-31,3.566825843,2.7566869236251885
2000-11-30,4.623649425,3.900819067466257
2001-02-28,5.964243242999999,5.549484172613019
2001-05-31,8.055929487,8.279283234543112
2001-08-31,2.005071225,3.292182457567634
2001-11-30,3.67161194,3.7792787245255846
2002-02-28,5.016745562,5.01276742800838
2002-05-31,7.8068678160000005,7.254345919403906
2002-08-31,3.962357955,2.867270807007424
2002-11-30,4.844173669,4.256866312408828
2003-02-28,6.20535014,5.9324867029624375
2003-05-31,8.252626866,8.756988929470443
2003-08-31,3.0652328769999997,3.427615431232854
2003-11-30,2.7886544339999997,4.3495241290470466
2004-02-29,4.341612903,5.189135582939204
2004-05-31,7.255938303,7.138160527341231
2004-08-31,2.177834225,2.8415117756322266
2004-11-30,3.922722222,3.386184067813911
2005-02-28,5.599884527,4.796463411432203
2005-05-31,7.731459227,7.378344633823275
2005-08-31,3.206951754,2.892637461101952
2005-11-30,3.787420043,3.953259196365814
2006-02-28,5.288186047,5.29691341584435
2006-05-31,7.79645977,7.684726160822836
2006-08-31,2.522435233,3.0015876112635054
2006-11-30,3.963870968,3.743371493307088
2007-02-28,5.690979898999999,5.182039071979672
2007-05-31,8.139213482999999,7.744586679950479
2007-08-31,3.0150716330000003,3.0055744909532174
2007-11-30,3.718991354,4.013937626421706
2008-02-29,5.382115942,5.369641905376897
2008-05-31,7.462532637000001,7.776204381173994
2008-08-31,2.93872818,2.9269983161044526
2008-11-30,4.306361323,3.8814959743314863
2009-02-28,5.665394088999999,5.509395584010647
2009-05-31,8.147426272999999,8.004838047560234
2009-08-31,3.5874680310000002,3.0765457406317798
2009-11-30,4.488283378999999,4.3110006752385015
2010-02-28,5.789137466000001,5.956729464104994
2010-05-31,8.187621622,8.507264012233563
2010-08-31,3.558680352,3.2634262700737753
2010-11-30,4.15747851,4.425932265963814
2011-02-28,5.5990810810000005,5.9007058857003685
2011-05-31,7.8305113639999995,8.364020458198722
2011-08-31,2.677173252,3.2232687013677563
2011-11-30,4.212537313,3.997460829036336
2012-02-29,4.8094100289999995,5.512255005770142
2012-05-31,7.869831461,7.631747052343247
2012-08-31,2.9611,2.9919394375956987
2012-11-30,4.902670068,3.9720291429854004
2013-02-28,6.764070512999999,5.656195434691069
2013-05-31,8.760946782000001,8.712322497273426
2013-08-31,2.8457252889999998,3.37697534736929
2013-11-30,4.766513076,4.394184982362478
2014-02-28,6.054262102,5.984927669835784
2014-05-31,8.302176166,8.603043452652535
2014-08-31,2.763134796,3.244949144062201
2014-11-30,3.922618421,4.332844602051149
2015-02-28,6.357350543,5.567619326187969
2015-05-31,7.595405046000001,8.263607814355318
2015-08-31,3.445083565,3.042392474078925
2015-11-30,5.0,4.425618131900782
2016-02-29,7.493399015,6.199095266773118
2016-05-31,9.215644556,9.17269666229457
2016-08-31,3.76889715,3.5320381789244784
2016-11-30,4.6162875,5.043703183248691
2017-02-28,6.485472392999999,6.696343509703503
2017-05-31,8.621152318,9.089694421762868
2017-08-31,3.688288509,3.4644709785877428
2017-11-30,4.903649815,4.872825491255155
2018-02-28,6.809617834,6.676013600056043
2018-05-31,7.716181818,9.178916172573105
2018-08-31,3.672554745,3.4268583276209044
2018-11-30,5.23318408,4.802911842633423
2019-02-28,,6.745239339924717
2019-05-31,,9.063926380727644
2019-08-31,,3.624523524213451
2019-11-30,,4.944026303928166
2020-02-29,,6.770082888674004
2020-05-31,,9.097279229274953
2020-08-31,,3.637848552702405
2020-11-30,,4.962185600625738
2021-02-28,,6.794926437423292
2021-05-31,,9.130632077822261
2021-08-31,,3.651173581191359
2021-11-30,,4.980344897323311
