,ML,ML_PROJECTION
1996-02-29,2.989615385,2.6808432117465446
1996-05-31,2.5875,2.5479442656266618
1996-08-31,1.8195652169999998,1.6398522839815393
1996-11-30,1.864230769,2.02995435622627
1997-02-28,2.3221739130000003,2.7104455301167567
1997-05-31,2.753478261,2.575760146538934
1997-08-31,1.7824,1.6577378398971612
1997-11-30,1.978518519,2.052008721573983
1998-02-28,2.610740741,2.7398586921137484
1998-05-31,2.5276,2.6037269759922492
1998-08-31,1.4922222219999999,1.6756286170699544
1998-11-30,2.102666667,2.073955700344446
1999-02-28,2.4693333330000002,2.769133639583789
1999-05-31,2.929545455,2.6314142847327404
1999-08-31,1.3275,1.6934868481423107
1999-11-30,2.076666667,2.0959189453758653
2000-02-29,2.815,2.798357377906082
2000-05-31,2.89,2.6592213052624216
2000-08-31,1.645652174,1.7113186411399635
2000-11-30,2.0691666669999997,2.118066801973955
2001-02-28,2.653913043,2.827835930436653
2001-05-31,2.743846154,2.6870947899230084
2001-08-31,1.7474074069999999,1.7291681554354743
2001-11-30,1.882,2.1401391765045803
2002-02-28,2.8437037039999997,2.8571267722683604
2002-05-31,1.8710714290000001,2.7149115668829396
2002-08-31,1.553333333,1.746811301509423
2002-11-30,2.357037037,2.1618237005845318
2003-02-28,2.715862069,2.886222519165829
2003-05-31,2.361333333,2.7424337184976166
2003-08-31,1.8166666669999998,1.7645841878763344
2003-11-30,2.448846154,2.183874175714619
2004-02-29,2.601111111,2.915619591967372
2004-05-31,2.6644,2.770245983861676
2004-08-31,1.776521739,1.7824994912546979
2004-11-30,2.484,2.2059639231610486
2005-02-28,3.0396,2.9450414653121766
2005-05-31,1.9488,2.7982728569184476
2005-08-31,1.756666667,1.800314251227079
2005-11-30,1.8512,2.2279386815635545
2006-02-28,2.4675,2.973986043107489
2006-05-31,2.6608,2.8254982757670812
2006-08-31,2.064347826,1.8179485527149042
2006-11-30,5.513928571,2.2498380307274974
2007-02-28,6.27,3.004914912371447
2007-05-31,2.102962963,2.8561154642447115
2007-08-31,1.910952381,1.8374627762479996
2007-11-30,2.176923077,2.2738506409583668
2008-02-29,3.115185185,3.035260762519169
2008-05-31,2.844,2.883776854522689
2008-08-31,2.15,1.8553836918369828
2008-11-30,2.341153846,2.296072926322178
2009-02-28,3.343076923,3.0649217709811336
2009-05-31,2.844,2.9119576296996557
2009-08-31,1.512222222,1.8734646243325672
2009-11-30,2.235,2.3180982576438196
2010-02-28,2.937857143,3.094189284677341
2010-05-31,2.844,2.9395467651803973
2010-08-31,2.067916667,1.8911658207169333
2010-11-30,2.1180000000000003,2.340191768280129
2011-02-28,3.112,3.1235423247745957
2011-05-31,2.844,2.9674170868531973
2011-08-31,2.0344,1.909047492794206
2011-11-30,2.4364,2.3622429803093064
2012-02-29,3.4567857139999996,3.1530503471280116
2012-05-31,2.844,2.995493242295757
2012-08-31,1.82988,1.9270612765558544
2012-11-30,2.509642857,2.3843803443718374
2013-02-28,2.9244827589999995,3.182554112879428
2013-05-31,3.6038461539999997,3.023262396189427
2013-08-31,1.8072222219999998,1.9450557586331678
2013-11-30,1.461428571,2.406575702162035
2014-02-28,2.107272727,3.211590838863834
2014-05-31,4.055,3.05049048373992
2014-08-31,1.41,1.962630755173469
2014-11-30,1.525,2.42808469965314
2015-02-28,3.499375,3.2402531545756132
2015-05-31,3.1957142860000003,3.0781268603334513
2015-08-31,2.060588235,1.9801612688139034
2015-11-30,2.4859999999999998,2.450010201688704
2016-02-29,3.165882353,3.2699056443693046
2016-05-31,3.204117647,3.106105646773531
2016-08-31,2.098947368,1.9981145235884519
2016-11-30,2.195555556,2.472182118020436
2017-02-28,2.691666667,3.299278916759425
2017-05-31,3.37952381,3.1337711863881186
2017-08-31,1.9557142859999999,2.015905790329488
2017-11-30,2.2488888890000003,2.4940723658238215
2018-02-28,3.005294118,3.3284439513083806
2018-05-31,3.714,3.161511501312723
2018-08-31,2.56,2.0337822603576274
2018-11-30,2.101304348,2.5164041081772157
2019-02-28,,3.358099387062869
2019-05-31,,3.189730143488197
2019-08-31,,2.0517648604799468
2019-11-30,,2.5383663339738836
2020-02-29,,3.387546501655205
2020-05-31,,3.217639646652552
2020-08-31,,2.0696782096120527
2020-11-30,,2.560479789432424
2021-02-28,,3.4169936162475407
2021-05-31,,3.2455491498169073
2021-08-31,,2.0875915587441587
2021-11-30,,2.582593244890964
