,OD,OD_PROJECTION
1996-02-29,3.7137770189999997,3.713959296861886
1996-05-31,5.923356243,5.9232739983891065
1996-08-31,2.343993015,2.3439706993795633
1996-11-30,3.6162916189999996,3.616206244697788
1997-02-28,4.848198614,3.7139097731196395
1997-05-31,5.695353774,6.023534985886452
1997-08-31,1.7509101519999999,2.378430227814077
1997-11-30,3.177889273,3.6182504209673807
1998-02-28,4.049646925,3.9873775281226393
1998-05-31,5.307607433,5.804729076177886
1998-08-31,2.971770223,2.1576243467889964
1998-11-30,2.761545667,3.5328779501802385
1999-02-28,4.181216686,4.018907836560458
1999-05-31,5.843574007000001,5.70450559334741
1999-08-31,2.447024221,2.399994652251185
1999-11-30,4.149230769,3.3059399790498225
2000-02-29,4.035691057,4.137885237864017
2000-05-31,5.530943167999999,5.83328118287992
2000-08-31,2.415204819,2.4426028250477736
2000-11-30,3.6966865319999997,3.5679031052884245
2001-02-28,4.7576099880000005,4.109783721649766
2001-05-31,5.928105395,5.809341713002037
2001-08-31,1.5470552880000001,2.469670473177752
2001-11-30,3.0651605230000003,3.581161181093428
2002-02-28,4.313546441000001,4.211442393981405
2002-05-31,5.823745174,5.6991807040553635
2002-08-31,2.7504724410000003,2.1702818937861657
2002-11-30,3.828309693,3.474941275590801
2003-02-28,5.0234820319999995,4.335334731739116
2003-05-31,6.040109439,5.913479592699855
2003-08-31,2.008035044,2.4000539944742028
2003-11-30,2.304007398,3.605076846268566
2004-02-29,4.149189542,4.448635929575038
2004-05-31,5.740217391,5.779291438055667
2004-08-31,2.222887768,2.2251972973650727
2004-11-30,3.0579898219999997,3.184221427160997
2005-02-28,4.597512563,4.336850715096728
2005-05-31,5.767856155,5.764193634186574
2005-08-31,2.095239437,2.2237205820963224
2005-11-30,2.983374422,3.1400398926985025
2006-02-28,4.627754078,4.387162779774455
2006-05-31,5.705050891,5.738801810835232
2006-08-31,1.315817942,2.178790546614115
2006-11-30,2.8275925930000003,3.0245783854434474
2007-02-28,4.249341398,4.335229047200272
2007-05-31,5.49896732,5.551906591229003
2007-08-31,1.873285024,1.888027233181349
2007-11-30,2.7973812419999997,2.93488511516686
2008-02-29,4.361970979,4.260729910492279
2008-05-31,5.6873157889999995,5.483172874870024
2008-08-31,1.7966387730000002,1.8701015289949965
2008-11-30,2.821428571,2.8720694058588156
2009-02-28,4.085507246000001,4.254514786328035
2009-05-31,5.6802560820000005,5.475098606139295
2009-08-31,1.828818297,1.829793924955023
2009-11-30,2.861651255,2.831903923126748
2010-02-28,4.203064516,4.176714489928143
2010-05-31,5.766516291,5.49939547347971
2010-08-31,2.67991128,1.8210826151749595
2010-11-30,2.87785347,2.901182364122295
2011-02-28,3.9949804939999995,4.276187565718579
2011-05-31,5.19835966,5.678371793778858
2011-08-31,2.423445274,2.0742564929311116
2011-11-30,3.261824645,2.887842695993879
2012-02-29,4.254299401,4.2238041955805175
2012-05-31,5.763381089,5.605549723103809
2012-08-31,2.322,2.2020928745108233
2012-11-30,3.034994413,3.0196122395752396
2013-02-28,4.184672897,4.252383780027008
2013-05-31,5.369564475,5.66873043916999
2013-08-31,2.410558333,2.2326148981464953
2013-11-30,2.357125506,3.026400286494564
2014-02-28,3.40175188,4.185481915896133
2014-05-31,4.861262064,5.469463613683054
2014-08-31,1.7773753669999999,2.220644214163522
2014-11-30,2.609355311,2.7305218019501667
2015-02-28,3.6598852219999998,3.841954112265149
2015-05-31,4.918230422,5.158323088984609
2015-08-31,2.273456604,2.0490908258707745
2015-11-30,3.3015048910000004,2.6711514191986834
2016-02-29,3.913309038,3.8136000488690565
2016-05-31,5.3025118110000005,5.145961150983856
2016-08-31,2.392640604,2.14023535961509
2016-11-30,3.186384943,2.8848381627290167
2017-02-28,4.14870632,3.8808860016427444
2017-05-31,5.5146025739999995,5.25915221273386
2017-08-31,2.341950845,2.241548490057799
2017-11-30,2.5815729480000003,3.001774434996137
2018-02-28,3.79227907,3.95048681218589
2018-05-31,4.941904762,5.293439620106455
2018-08-31,1.6240864959999999,2.2390691203549236
2018-11-30,3.024019608,2.802329879402971
2019-02-28,,3.829412859847628
2019-05-31,,5.1021512027704885
2019-08-31,,2.043767826752279
2019-11-30,,2.798232255041434
2020-02-29,,3.807928436178019
2020-05-31,,5.073486040327096
2020-08-31,,2.0322692771470354
2020-11-30,,2.7824667987405
2021-02-28,,3.78644401250841
2021-05-31,,5.044820877883703
2021-08-31,,2.0207707275417923
2021-11-30,,2.7667013424395663
