,MP,MP_PROJECTION
1996-02-29,7.377239404,7.209280791832019
1996-05-31,9.534539545,9.549397799871134
1996-08-31,4.11373168,5.026510518603945
1996-11-30,5.552130435,5.740193667677077
1997-02-28,7.068107221,6.878508830917912
1997-05-31,9.543756786,9.095462345118923
1997-08-31,4.619953864,4.751978872320658
1997-11-30,5.286538883,5.925607692036138
1998-02-28,5.160672646,6.94587086497224
1998-05-31,8.21128266,8.173491812055381
1998-08-31,5.20292735,4.149753678420356
1998-11-30,5.89500996,5.700522669311369
1999-02-28,7.457801636,6.916408515423641
1999-05-31,10.21747604,9.749267805872872
1999-08-31,4.895249205,5.221283267679975
1999-11-30,5.621023697,6.131335655419697
2000-02-29,7.615615764,7.137538396920414
2000-05-31,10.35905935,9.96934360961888
2000-08-31,6.204673267,5.23020767490264
2000-11-30,7.898280317999999,6.749066869896357
2001-02-28,9.400912017000001,8.881150576409839
2001-05-31,12.05913915,12.2947343472853
2001-08-31,5.757403936,6.434719246880935
2001-11-30,7.985428322000001,7.371961218606901
2002-02-28,9.763247372999999,9.222695931515403
2002-05-31,11.93327485,12.614947977007953
2002-08-31,7.3863909,6.421592911896417
2002-11-30,8.296577114,8.385413660968885
2003-02-28,9.696387435,10.063267395875076
2003-05-31,12.25981865,13.017546937274833
2003-08-31,7.081064604,6.8228912069931695
2003-11-30,7.20119457,8.321900349128653
2004-02-29,8.568622263,9.44886537051783
2004-05-31,11.63722979,11.903542662164995
2004-08-31,5.653581817999999,6.428286514764581
2004-11-30,7.548149171,7.157797498274842
2005-02-28,9.472393472,8.84492712817013
2005-05-31,11.92836364,12.041731000135766
2005-08-31,6.681312848999999,6.43768790624363
2005-11-30,7.786057866,7.856630740595418
2006-02-28,9.423651096,9.484751126797244
2006-05-31,11.25000983,12.365019151167141
2006-08-31,5.105299228,6.440383088296778
2006-11-30,7.147396734,7.046014882712976
2007-02-28,9.43086915,8.595233060537288
2007-05-31,11.38672833,11.530014914838107
2007-08-31,6.573773216,6.089261410066187
2007-11-30,8.004631579,7.765257156196006
2008-02-29,9.591090555,9.650452141293815
2008-05-31,12.18141463,12.214264315602243
2008-08-31,6.624921722000001,6.565427195161965
2008-11-30,8.227315891,8.079308980840926
2009-02-28,9.80164532,9.932454586225328
2009-05-31,11.92968528,12.540200542057335
2009-08-31,6.060927978,6.626707563269603
2009-11-30,6.51540721,7.856790959072294
2010-02-28,9.192641129,8.88819245710709
2010-05-31,11.00075353,11.381568698694332
2010-08-31,5.5465285710000005,6.020771199043529
2010-11-30,7.226715867,7.066444572209012
2011-02-28,9.501082737,8.946078422068235
2011-05-31,12.10458716,11.462063200945948
2011-08-31,4.891405128,6.240213897853866
2011-11-30,6.767450199,7.012891998294338
2012-02-29,8.015649895,8.727093038386641
2012-05-31,11.34561915,10.544420817889886
2012-08-31,4.7860000000000005,5.548888350960541
2012-11-30,6.7582758620000005,6.6412235725145035
2013-02-28,8.734528226,8.383893001769081
2013-05-31,11.26678695,10.911795394330403
2013-08-31,3.309805688,5.4612101962638215
2013-11-30,5.607232076,5.964348907838187
2014-02-28,7.246201276,7.3292661331883115
2014-05-31,10.033257199999998,9.334617186974468
2014-08-31,5.396805067000001,4.445481763081462
2014-11-30,7.482482517,6.613005780492173
2015-02-28,8.700591033,8.825731187331948
2015-05-31,10.83649635,11.361974800607415
2015-08-31,5.68562968,5.257756595441174
2015-11-30,7.824366295,7.33999454134954
2016-02-29,10.28431414,9.336863494974226
2016-05-31,11.97644991,12.515843101405299
2016-08-31,4.534704205,5.910012501341258
2016-11-30,6.381231102,7.219884157511638
2017-02-28,8.841079545,8.57619372671917
2017-05-31,11.29144484,10.94475438887757
2017-08-31,6.668768222000001,5.174081072479407
2017-11-30,7.801045845,7.93267449067483
2018-02-28,9.876333809,10.037735189527531
2018-05-31,14.33681818,12.561107985289064
2018-08-31,5.301138329,6.435568596212247
2018-11-30,10.12411765,7.8361694535366935
2019-02-28,,11.156316667175412
2019-05-31,,14.384253771509824
2019-08-31,,6.636190107353154
2019-11-30,,8.936859333485268
2020-02-29,,11.37812113818554
2020-05-31,,14.668820118215129
2020-08-31,,6.766828967660903
2020-11-30,,9.111927171140032
2021-02-28,,11.599925609195669
2021-05-31,,14.953386464920433
2021-08-31,,6.8974678279686525
2021-11-30,,9.286995008794793
