,MS,MS_PROJECTION
1996-02-29,6.185140337000001,6.185806819704902
1996-05-31,8.234369919,8.20508685256642
1996-08-31,4.928105727,4.831361121121785
1996-11-30,4.564937965,5.137331696242137
1997-02-28,5.804023179,5.9452726866913785
1997-05-31,7.951108968,7.772276213739978
1997-08-31,5.491316501,4.632408649188942
1997-11-30,5.232803095,5.423451258669015
1998-02-28,5.387545376,6.5922403121757505
1998-05-31,7.498281092,7.755960600125798
1998-08-31,4.164264317,4.464545887077848
1998-11-30,3.823367521,4.496265119929607
1999-02-28,4.862804142,5.074833236962873
1999-05-31,7.092184644,6.5646595966554235
1999-08-31,4.5959037160000005,4.052424600903829
1999-11-30,3.955547886,4.612351763010361
2000-02-29,5.382460117999999,5.230839828839704
2000-05-31,7.341944709,7.068488959839933
2000-08-31,3.9527420739999997,4.255014631064435
2000-11-30,5.211649485,4.275837104408512
2001-02-28,6.267460595,6.036318065295193
2001-05-31,8.297494802000001,8.19746523587543
2001-08-31,4.604157003,4.852561482536836
2001-11-30,4.8588594160000005,4.935706497194636
2002-02-28,6.080478771,6.075962193249327
2002-05-31,8.128644252,8.064250639320473
2002-08-31,4.691361973999999,4.761706706695431
2002-11-30,5.521727192,4.956141946924677
2003-02-28,6.773595004,6.594151491464458
2003-05-31,9.061659483,8.891905251895325
2003-08-31,5.112718447,5.284094491166561
2003-11-30,6.264391667000001,5.436968643993567
2004-02-29,7.6163893510000005,7.390073783269284
2004-05-31,9.543996764,9.981524196791216
2004-08-31,5.9744444439999995,5.701262853080534
2004-11-30,6.2577777779999995,6.161516530326846
2005-02-28,7.2893934289999995,7.7257348923434614
2005-05-31,9.450501645,9.882232573946855
2005-08-31,4.921789298,5.645279977823605
2005-11-30,5.344084859,5.456716761730866
2006-02-28,6.780549542,6.693264075511077
2006-05-31,8.330558899,8.94734617505249
2006-08-31,4.496515798,5.031257262337495
2006-11-30,4.706396934,4.936931208156951
2007-02-28,5.991341795,5.959562740392529
2007-05-31,8.387627986,7.9328369790621425
2007-08-31,4.681492411,4.82642307759484
2007-11-30,5.0500416669999995,4.975463060364871
2008-02-29,6.393977567,6.241341424370318
2008-05-31,8.544101921000001,8.403969689117725
2008-08-31,5.2902857139999995,4.987910559665243
2008-11-30,5.629487825,5.434390534161787
2009-02-28,6.724081633,6.901737380589747
2009-05-31,8.574883203999999,9.00574257459266
2009-08-31,5.090046773,5.1328529281364474
2009-11-30,5.222525822,5.362159297931289
2010-02-28,6.461584158,6.5555311964004135
2010-05-31,9.49899274,8.617026858580227
2010-08-31,3.946632935,5.381603054052608
2010-11-30,4.46224548,4.719622733488615
2011-02-28,5.225789474,5.670045457619427
2011-05-31,7.680556792999999,7.160641046083778
2011-08-31,4.304328794,4.398311562617686
2011-11-30,4.732497704,4.560760157934909
2012-02-29,6.217122558,5.802685094627271
2012-05-31,8.374523549,8.038981332273229
2012-08-31,6.5432239999999995,4.845266877205758
2012-11-30,5.543891892,6.19011416625497
2013-02-28,7.009478917999999,7.191461383137797
2013-05-31,8.760653153,9.384860846523218
2013-08-31,4.08919862,5.28451029665817
2013-11-30,4.677197683,4.773475321632592
2014-02-28,5.98984543,5.860290945006231
2014-05-31,7.608664687999999,7.881785643782826
2014-08-31,5.140889507,4.532552592732363
2014-11-30,5.808184263999999,5.156545150397473
2015-02-28,6.657176849,6.908177262439858
2015-05-31,8.454271544,8.954188965469916
2015-08-31,6.348068833999999,5.0776476774036965
2015-11-30,6.289160494,6.155930475350003
2016-02-29,8.877508143,7.747186012571374
2016-05-31,10.11461586,11.193448334434155
2016-08-31,5.258849879,6.177639360376976
2016-11-30,4.962908983,5.886848389465722
2017-02-28,6.513506187000001,6.603089915054275
2017-05-31,9.202993939,8.683414351916568
2017-08-31,5.660906307,5.289005952463566
2017-11-30,5.653472305,5.794370101679849
2018-02-28,7.091762221000001,7.08942803955301
2018-05-31,10.40858974,9.401027557695047
2018-08-31,6.1225,5.885792732544619
2018-11-30,7.02839779,6.330855781769983
2019-02-28,,8.396621565523105
2019-05-31,,11.12562941868261
2019-08-31,,6.529246229708376
2019-11-30,,6.850324956035538
2020-02-29,,8.50428936525635
2020-05-31,,11.26783474462242
2020-08-31,,6.612435778289337
2020-11-30,,6.937328260755397
2021-02-28,,8.611957164989594
2021-05-31,,11.410040070562227
2021-08-31,,6.695625326870297
2021-11-30,,7.024331565475256
