,JK,JK_PROJECTION
1996-02-29,5.454320987999999,5.539233132948473
1996-05-31,6.650123457,6.216756122956451
1996-08-31,3.1455,4.274287316547446
1996-11-30,4.524303797,4.126500288092611
1997-02-28,5.256455696000001,5.001938822745704
1997-05-31,6.410769231000001,5.876321348021988
1997-08-31,3.789746835,4.097409002099263
1997-11-30,4.473902439,4.596480769662445
1998-02-28,5.557195122,5.122669198019807
1998-05-31,6.116395348999999,6.156001648035387
1998-08-31,4.2873809519999995,4.01775380671298
1998-11-30,4.982988506,4.979818819046804
1999-02-28,5.641927711,5.657803060379293
1999-05-31,6.901204819,6.4060038816271945
1999-08-31,4.929651163,4.426689273679609
1999-11-30,5.450681818,5.657028121717886
2000-02-29,6.211460674,6.260588378195579
2000-05-31,7.19060241,7.063480567807671
2000-08-31,4.976707317,4.689090691923994
2000-11-30,5.951829267999999,5.789517770525981
2001-02-28,6.456428571,6.70363277320788
2001-05-31,7.24164557,7.409059754557771
2001-08-31,4.612682927,4.780706087494893
2001-11-30,5.563452381,5.520991481770778
2002-02-28,6.681973684,6.303564338922671
2002-05-31,8.475344827999999,7.451197458932053
2002-08-31,5.6012,5.354270239867264
2002-11-30,5.997662338,6.543378588239185
2003-02-28,7.178933333,6.997824981846849
2003-05-31,7.460675676,8.08238800087799
2003-08-31,4.695,5.013996820852635
2003-11-30,5.5028,5.67227666834736
2004-02-29,6.5293,6.307166684830142
2004-05-31,7.4024,7.331384648398222
2004-08-31,4.695,4.839023374196779
2004-11-30,5.5028,5.609892168319519
2005-02-28,6.100373134,6.285831468125127
2005-05-31,6.575142857,6.984031677819717
2005-08-31,4.521363636,4.391419330700961
2005-11-30,5.431911765,5.30663959226055
2006-02-28,6.156115108,6.125860314263461
2006-05-31,7.098571429,6.973572473424279
2006-08-31,4.345652174,4.6291739275313795
2006-11-30,4.909071429,5.246025781753817
2007-02-28,5.562714286,5.690180664312085
2007-05-31,5.949568345,6.354263037201105
2007-08-31,4.112553191,3.9804620206881434
2007-11-30,5.162957746,4.821871974872414
2008-02-29,5.832464788999999,5.746617773589339
2008-05-31,6.860492957999999,6.587409273244865
2008-08-31,4.1102962960000005,4.443851802066667
2008-11-30,5.166028369,4.985220221927602
2009-02-28,5.685294118,5.804919121730796
2009-05-31,7.002279412,6.490646856710883
2009-08-31,5.317372263,4.489710044312579
2009-11-30,6.451865672,6.000294366858139
2010-02-28,7.239389312999999,7.1725691730909285
2010-05-31,7.85092437,8.190018942632435
2010-08-31,4.277835821,5.214047264691198
2010-11-30,5.183307692,5.398444089846674
2011-02-28,5.788396947000001,5.959953475570489
2011-05-31,6.62880597,6.625355584078326
2011-08-31,4.596377953,4.345191504777567
2011-11-30,5.006153846,5.352223846831416
2012-02-29,5.693712121,5.803548967876855
2012-05-31,6.6402083329999995,6.496852758565503
2012-08-31,4.21494,4.325044965899553
2012-11-30,4.902315789,5.029442470062839
2013-02-28,5.5096268660000005,5.610748566952899
2013-05-31,6.103558559,6.285036672936434
2013-08-31,3.5239393939999997,4.037348207284555
2013-11-30,4.379867841,4.355140149261476
2014-02-28,4.909045226,4.965501640626708
2014-05-31,5.142644628,5.58843715580078
2014-08-31,4.461637931,3.4595535710808503
2014-11-30,4.351718062,4.9249784905957075
2015-02-28,4.975765306,5.1380428227578845
2015-05-31,4.525619469,5.700281792938471
2015-08-31,3.624026549,3.1989326517651113
2015-11-30,4.316284404,4.139025246813742
2016-02-29,4.428695652,4.841128598575606
2016-05-31,5.683555556,5.165112942167276
2016-08-31,3.7525327510000004,3.623804673097148
2016-11-30,4.764497817,4.396832719715827
2017-02-28,5.358275862,5.2850202498064744
2017-05-31,6.016060606,6.053759384836282
2017-08-31,3.7064976960000005,3.951597324013168
2017-11-30,4.666342412,4.475613915983634
2018-02-28,5.118161435,5.234062444200843
2018-05-31,5.2375,5.845981331859339
2018-08-31,4.114157303,3.553861372039821
2018-11-30,5.1231428569999995,4.671100306324917
2019-02-28,,5.663455628508591
2019-05-31,,6.425002907842995
2019-08-31,,4.212258592609116
2019-11-30,,4.987011387090169
2020-02-29,,5.663455628508591
2020-05-31,,6.425002907842995
2020-08-31,,4.212258592609116
2020-11-30,,4.987011387090169
2021-02-28,,5.663455628508591
2021-05-31,,6.425002907842995
2021-08-31,,4.212258592609116
2021-11-30,,4.987011387090169
