,TN,TN_PROJECTION
1996-02-29,6.896779661,6.351486940596219
1996-05-31,8.825776,8.081698181997716
1996-08-31,8.293285714,8.505605803192143
1996-11-30,5.8833537520000005,6.69611478976534
1997-02-28,5.080691244,6.4923372293888555
1997-05-31,7.293392,7.670728879289669
1997-08-31,8.371314103,7.806739609851422
1997-11-30,5.411493002,6.292462194319109
1998-02-28,4.258842593,6.074363559520587
1998-05-31,7.45433432,7.030768156552926
1998-08-31,7.144655172,7.348363041266601
1998-11-30,5.5737192470000005,5.78462920782532
1999-02-28,4.571282051,5.7298231855476685
1999-05-31,6.9066925470000005,6.799602809549591
1999-08-31,8.708448752999999,7.032984774091485
1999-11-30,5.920044709,5.893254474608273
2000-02-29,5.9435650220000005,5.894916317867134
2000-05-31,7.835338785,7.366033437851107
2000-08-31,8.056321168,7.703569517409911
2000-11-30,6.748719154,6.170760632825096
2001-02-28,5.961895504,6.303228041474608
2001-05-31,7.810614035,7.756326619904877
2001-08-31,9.171409314,8.001278406678471
2001-11-30,6.872876884,6.5611582824727535
2002-02-28,6.7445244220000005,6.627790143172165
2002-05-31,9.032480315,8.29651163782754
2002-08-31,10.32867305,8.723943540477896
2002-11-30,8.367595908,7.214051827927774
2003-02-28,8.38258427,7.479311717477771
2003-05-31,11.01372093,9.589422946992377
2003-08-31,10.53723373,10.220355248438473
2003-11-30,9.743549783999999,8.149809475962437
2004-02-29,9.155591241,8.515929631437203
2004-05-31,10.51787297,10.797790189915645
2004-08-31,10.51746165,11.038387223436448
2004-11-30,7.650665722,8.635903174789037
2005-02-28,7.451474104,8.38095088305478
2005-05-31,9.159375812999999,10.160393868974937
2005-08-31,10.02977099,10.206260245590835
2005-11-30,6.3592554560000005,8.044834444674091
2006-02-28,4.49045512,7.624879243236227
2006-05-31,6.705811856,8.56136243897243
2006-08-31,7.621056062999999,8.354747559294026
2006-11-30,5.775291074,6.477899399277093
2007-02-28,5.40847348,6.301646796092256
2007-05-31,8.476023622,7.589149780397391
2007-08-31,8.275156658,8.035690945547845
2007-11-30,6.2390463579999995,6.411271082030147
2008-02-29,5.159504685,6.362577589269187
2008-05-31,6.474403927000001,7.572035110980757
2008-08-31,7.058268397999999,7.527381627930328
2008-11-30,5.0748469389999995,5.875395980973332
2009-02-28,4.925818713,5.678695319181172
2009-05-31,8.047782609,6.857561575435248
2009-08-31,8.835938804,7.360286216696272
2009-11-30,7.714579025,6.113501965659649
2010-02-28,5.999937695,6.491672785102578
2010-05-31,8.361994302000001,7.9453119367375304
2010-08-31,8.269491778999999,8.2847461994569
2010-11-30,6.743545052000001,6.559333032470786
2011-02-28,4.545402124,6.595389275438942
2011-05-31,6.81829582,7.607590366893087
2011-08-31,7.430828025,7.640101603384323
2011-11-30,5.101672413999999,6.01376712300684
2012-02-29,4.655422886,5.789610864977392
2012-05-31,8.427220708,6.881139104236472
2012-08-31,8.71,7.472472474181408
2012-11-30,6.155677966,6.156724140746896
2013-02-28,7.413172303,6.150377398661404
2013-05-31,8.309702128,8.046767076986514
2013-08-31,8.991641541,8.350792315952503
2013-11-30,8.565346386,6.736257409027741
2014-02-28,7.848304821,7.165973933084997
2014-05-31,10.15558069,9.134168363184058
2014-08-31,10.16063866,9.653750971589922
2014-11-30,7.06127907,7.738875098120428
2015-02-28,7.282362805,7.562249600070883
2015-05-31,7.835739385,9.33819558206696
2015-08-31,8.340355872,9.23889526869347
2015-11-30,5.644267857000001,7.14417825645242
2016-02-29,15.1525,6.773310727862709
2016-05-31,6.964499151,10.950882157105704
2016-08-31,8.339192246,10.27883716826079
2016-11-30,8.792367973,7.766696217996958
2017-02-28,9.16829582,7.998490671592246
2017-05-31,10.51264325,10.313943650858056
2017-08-31,10.05726592,10.66044434140707
2017-11-30,7.791683849,8.322039894580447
2018-02-28,7.506943972999999,8.177785554045373
2018-05-31,12.43761905,9.985531604608283
2018-08-31,8.516146497000001,10.88082540501847
2018-11-30,9.122266187000001,8.160841587874117
2019-02-28,,8.375233285429491
2019-05-31,,10.431565702407678
2019-08-31,,10.731957135878762
2019-11-30,,8.493209800757473
2020-02-29,,8.475306208939141
2020-05-31,,10.555837847663856
2020-08-31,,10.85942822675114
2020-11-30,,8.593791027923835
2021-02-28,,8.57537913244879
2021-05-31,,10.680109992920036
2021-08-31,,10.986899317623518
2021-11-30,,8.694372255090197
