,GJ,GJ_PROJECTION
1996-02-29,10.94669118,11.464243810261177
1996-05-31,14.03246154,13.645215932245979
1996-08-31,10.506832300000001,9.480019535874849
1996-11-30,11.62009143,10.961362781305324
1997-02-28,12.20397875,11.947667281420928
1997-05-31,13.44582547,14.354925680395844
1997-08-31,9.708643411,9.839569982726326
1997-11-30,10.44112069,11.17901054789798
1998-02-28,11.58362336,11.964509465582225
1998-05-31,14.05306236,14.265145075780655
1998-08-31,10.1243728,9.847161393674899
1998-11-30,10.06133566,11.254484412006859
1999-02-28,10.974374300000001,11.974867757328427
1999-05-31,13.15346491,14.1706677317823
1999-08-31,12.26685355,9.701944602880449
1999-11-30,12.04252903,11.464803910356997
2000-02-29,13.41664781,12.476486671188972
2000-05-31,14.95939739,15.103232655944495
2000-08-31,12.20406417,10.430978276382447
2000-11-30,13.238814499999998,12.161003377609658
2001-02-28,14.35775777,13.302985273210073
2001-05-31,15.86632327,16.108261602349085
2001-08-31,9.726489971,11.113169595237231
2001-11-30,11.56632931,12.41614683643071
2002-02-28,11.87076563,13.277560670302744
2002-05-31,15.25490066,15.653558192274588
2002-08-31,12.19980803,10.784502223576045
2002-11-30,14.09350674,12.502896842547523
2003-02-28,13.60824532,13.75042800400124
2003-05-31,15.93279441,16.43529305370544
2003-08-31,9.682201705,11.31238477087884
2003-11-30,10.52940934,12.601944440404855
2004-02-29,11.90668985,13.287197841429187
2004-05-31,13.83754072,15.669578774332972
2004-08-31,5.737261905,10.65280429413127
2004-11-30,11.74800566,11.316384111593637
2005-02-28,12.815297300000001,12.294146477432447
2005-05-31,14.981,14.813624026882122
2005-08-31,10.85291034,10.262572143197842
2005-11-30,11.9134811,11.776418959886705
2006-02-28,12.49171934,12.74306968371322
2006-05-31,14.89524804,15.215599757129608
2006-08-31,9.290596817,10.490766199055624
2006-11-30,10.59506008,11.741570909381942
2007-02-28,12.6896066,12.505951578094814
2007-05-31,13.97391805,15.007929803168762
2007-08-31,8.933197756,10.276723662373277
2007-11-30,10.226206900000001,11.475588060764212
2008-02-29,11.23519256,12.203904263982384
2008-05-31,13.07136486,14.449181571184658
2008-08-31,10.20797003,9.857792741066028
2008-11-30,10.24217274,11.278484374919021
2009-02-28,11.44397653,12.02507191445343
2009-05-31,14.65208333,14.30282380124478
2009-08-31,10.78470828,9.928998443909848
2009-11-30,11.67296496,11.441986475227825
2010-02-28,14.34896783,12.398016553887325
2010-05-31,15.61429333,15.183957038104746
2010-08-31,10.17149171,10.543729605507915
2010-11-30,11.38547712,11.937230915851089
2011-02-28,11.85929708,12.80887714893249
2011-05-31,12.99090909,15.173668205585848
2011-08-31,10.30179207,10.276448258014355
2011-11-30,11.20975806,11.69956523662676
2012-02-29,12.69981481,12.562918008060826
2012-05-31,16.83021171,15.067777957389094
2012-08-31,12.839,10.596383465944001
2012-11-30,17.11618881,12.425327428841722
2013-02-28,15.99338498,14.14920658993499
2013-05-31,18.06967083,17.253142173407536
2013-08-31,14.23090212,12.006813190350378
2013-11-30,12.73943207,14.020201157558125
2014-02-28,16.87938836,14.935588868312566
2014-05-31,19.10545549,18.207764002196633
2014-08-31,16.65221282,12.672149637199846
2014-11-30,12.84339773,15.061692909244819
2015-02-28,15.36461207,15.909827123560667
2015-05-31,17.14490741,18.940026613740727
2015-08-31,12.88225589,12.908175482924161
2015-11-30,13.186226800000002,14.67271219945781
2016-02-29,16.36818898,15.605326044620218
2016-05-31,16.64584305,18.802554396708775
2016-08-31,13.28703285,12.777520883397226
2016-11-30,13.39696677,14.61242090134511
2017-02-28,15.33792059,15.582641680543983
2017-05-31,17.40448164,18.60179647622486
2017-08-31,12.38057252,12.73483094688772
2017-11-30,12.47758323,14.422527730078388
2018-02-28,13.87794872,15.264962163760199
2018-05-31,27.96820144,18.026150004274847
2018-08-31,7.858965517000001,13.447695969543926
2018-11-30,22.5703096,14.372481649828
2019-02-28,,16.78870297598698
2019-05-31,,20.081734187446713
2019-08-31,,13.872986169937748
2019-11-30,,15.770016155666859
2020-02-29,,17.016606779907335
2020-05-31,,20.353418316681186
2020-08-31,,14.060039999214494
2020-11-30,,15.981933897628066
2021-02-28,,17.244510583827687
2021-05-31,,20.62510244591565
2021-08-31,,14.247093828491238
2021-11-30,,16.19385163958927
