,AP,AP_PROJECTION
1996-02-29,5.641587079,5.67782067666054
1996-05-31,7.418521008,7.0948843387071525
1996-08-31,5.3124477610000005,6.170147956792832
1996-11-30,3.452762186,4.328868367118922
1997-02-28,3.861293103,4.34157426515017
1997-05-31,6.218089552,4.941974828605284
1997-08-31,5.9747523220000005,5.064619262132583
1997-11-30,4.577874618,4.667767907036371
1998-02-28,4.806,5.575416691568384
1998-05-31,6.863292469,6.1718008317748945
1998-08-31,4.859647651,5.666875301225552
1998-11-30,3.585233333,3.964105666191419
1999-02-28,4.997112211,4.421703666802345
1999-05-31,6.64771836,6.186891386920726
1999-08-31,6.693187184,5.512892760987909
1999-11-30,5.735181347,5.209503148750071
2000-02-29,6.279677996,6.875656392369503
2000-05-31,7.103636364,7.986249306192417
2000-08-31,4.811056338,6.041634788725146
2000-11-30,4.508247078,3.9702757434637226
2001-02-28,5.128401361,5.390153130308671
2001-05-31,7.030867347,6.490528872332997
2001-08-31,7.060873288,5.823219571193158
2001-11-30,3.72548552,5.495307032946189
2002-02-28,4.336376068,4.815204362967122
2002-05-31,6.758780918999999,5.535984539607148
2002-08-31,6.72501773,5.5209017443469435
2002-11-30,6.036690647,5.232252384683347
2003-02-28,6.721592593,7.195345360237277
2003-05-31,9.009981717999999,8.518657942163077
2003-08-31,7.399317343,7.47716114940303
2003-11-30,5.953675372999999,5.902987874456553
2004-02-29,6.57456979,7.2163091296414255
2004-05-31,8.1775,8.362731843004907
2004-08-31,7.899741602000001,6.858772914548015
2004-11-30,6.1045129220000005,6.181979443563322
2005-02-28,11.17750992,7.419321947741043
2005-05-31,12.94001988,13.387523011626476
2005-08-31,9.942572864,10.854805510447067
2005-11-30,6.003846939,8.009982263623124
2006-02-28,7.235695793,7.6080840528110665
2006-05-31,8.833139785,9.144836897703987
2006-08-31,7.782194323,7.41891366735343
2006-11-30,7.509320175,6.160292290660531
2007-02-28,9.351101322,8.888278425015905
2007-05-31,10.77966518,11.65177432564897
2007-08-31,7.72374289,9.102423048789696
2007-11-30,5.854680135,6.297991501889362
2008-02-29,7.211046771,7.176135715060675
2008-05-31,8.746308571,9.046175585710811
2008-08-31,6.604837262,7.345275560051778
2008-11-30,6.009117647,5.34236254828607
2009-02-28,7.126681818,7.1841704663150905
2009-05-31,6.28760095,8.956036463796746
2009-08-31,6.13993135,5.5599607785539655
2009-11-30,4.856981567,4.833778397913154
2010-02-28,5.267488479,5.894687098062925
2010-05-31,5.752313625,6.725363784953962
2010-08-31,4.319778325,4.926077997559425
2010-11-30,2.987241379,3.514327488224799
2011-02-28,3.4477590360000003,3.7225127541271372
2011-05-31,5.515582417999999,4.39048343486257
2011-08-31,4.437624703,4.496212319264904
2011-11-30,4.251062802,3.549988446693441
2012-02-29,4.773576642,5.052927033984039
2012-05-31,6.756389549,6.049631529450746
2012-08-31,5.067,5.576137363287017
2012-11-30,4.452242798,4.097196672511104
2013-02-28,5.150725389,5.35188423702665
2013-05-31,6.486548295,6.508361795523516
2013-08-31,5.28,5.432169702258083
2013-11-30,3.3711491110000003,4.228548334657224
2014-02-28,4.100594406,4.239881885393044
2014-05-31,5.714080664,5.184514698378397
2014-08-31,5.159801865,4.727594993805439
2014-11-30,4.559420935,4.071376896283693
2015-02-28,4.839920455,5.460066411705203
2015-05-31,6.386644144,6.189371087403761
2015-08-31,5.498805461,5.324658191311748
2015-11-30,4.741743227,4.367747606330815
2016-02-29,4.3458110880000005,5.698877664986269
2016-05-31,6.770254042,5.693377051246986
2016-08-31,5.3778637410000005,5.546640435210043
2016-11-30,4.802332928,4.3079867651198365
2017-02-28,6.012352272999999,5.752764312091986
2017-05-31,7.768647059,7.509386911089564
2017-08-31,6.146358244,6.46892513217332
2017-11-30,4.295238663,4.934263793713635
2018-02-28,5.034976077,5.322072991113434
2018-05-31,6.516,6.3778898498192165
2018-08-31,6.549130435,5.438966359774186
2018-11-30,5.745341463,5.102563884435111
2019-02-28,,6.8690904413352945
2019-05-31,,8.624257626194598
2019-08-31,,7.210358473410996
2019-11-30,,5.7447672167281185
2020-02-29,,6.971871558241013
2020-05-31,,8.752820117797414
2020-08-31,,7.317444772356182
2020-11-30,,5.829771335135323
2021-02-28,,7.074652675146731
2021-05-31,,8.881382609400232
2021-08-31,,7.424531071301368
2021-11-30,,5.914775453542527
