,WB,WB_PROJECTION
1996-02-29,4.350236686000001,4.673288086773104
1996-05-31,6.265475113,6.042924624352333
1996-08-31,2.8048466260000002,3.001244770871028
1996-11-30,3.5762980030000002,3.443946980362859
1997-02-28,4.960725309,4.61041231699458
1997-05-31,6.335698587,6.229500710494223
1997-08-31,2.674233937,3.0173223087179175
1997-11-30,3.8010289389999996,3.5160333085081854
1998-02-28,4.772051282,4.773736355584461
1998-05-31,5.696910569,6.299505317055561
1998-08-31,3.3666745280000003,2.9170699897807912
1998-11-30,3.240821018,3.685633257399851
1999-02-28,5.051173633,4.775252109097861
1999-05-31,6.998279932999999,6.223713921813134
1999-08-31,2.9777647060000003,3.1388989170962076
1999-11-30,3.325711948,3.6289944228725157
2000-02-29,4.688228477,4.914550463869567
2000-05-31,6.269368259,6.39928261935379
2000-08-31,3.169951378,3.044139080170032
2000-11-30,3.780853081,3.5420517498235986
2001-02-28,5.160174326,4.943462624940799
2001-05-31,6.261900957999999,6.557622519961691
2001-08-31,3.10762226,3.149567616352915
2001-11-30,3.9987075930000002,3.655992680395964
2002-02-28,5.625164474,5.0958165950720185
2002-05-31,6.245709677000001,6.688038925843852
2002-08-31,3.33642623,3.2243268057272267
2002-11-30,3.747528642,3.856031177333488
2003-02-28,5.030815972,5.292003317530111
2003-05-31,6.209029605,6.5495122231620835
2003-08-31,3.713152542,3.23407789173993
2003-11-30,3.091825193,3.8778792348487645
2004-02-29,4.56287037,5.162892210612277
2004-05-31,6.53221458,6.324005294467929
2004-08-31,3.99165075,3.299775775599779
2004-11-30,3.735475234,3.6982115082353317
2005-02-28,5.145624196,5.179200119869912
2005-05-31,6.569416446,6.65903389378747
2005-08-31,4.189406452,3.5818216535379683
2005-11-30,3.73613489,3.82677775695258
2006-02-28,4.876066946,5.313678317368449
2006-05-31,6.866849866,6.746214508536569
2006-08-31,3.654644013,3.7896380695025433
2006-11-30,4.045343915,3.772866274734906
2007-02-28,5.5348684210000005,5.244261619388978
2007-05-31,6.7571075579999995,6.942127417693586
2007-08-31,3.173842444,3.829800045996516
2007-11-30,3.434580645,3.825151392097005
2008-02-29,5.05757079,5.165631265305285
2008-05-31,6.326344411,6.645022112564215
2008-08-31,3.314473282,3.540030790291369
2008-11-30,3.947930514,3.6482606131132647
2009-02-28,5.428157504,5.151156806059881
2009-05-31,6.388319739,6.658953218600232
2009-08-31,4.089587459,3.5389210549997987
2009-11-30,4.43642527,3.8841015957898373
2010-02-28,5.634867807000001,5.497430158112416
2010-05-31,7.555481832999999,6.933729100243291
2010-08-31,5.506381579,3.9150230392760035
2010-11-30,5.347732116,4.436425125738089
2011-02-28,6.1267591239999994,6.1785948049263855
2011-05-31,7.832450091,7.861272603865513
2011-08-31,3.58845339,4.672486287683713
2011-11-30,4.422025862,4.638679514096139
2012-02-29,5.315982721,5.955694096861519
2012-05-31,7.1492198579999995,7.477023403337069
2012-08-31,4.82,4.200580323109366
2012-11-30,5.674146341,4.593499575769327
2013-02-28,6.592361607000001,6.058804344981892
2013-05-31,8.472178301,7.934552941213733
2013-08-31,5.015450237,4.718446318345877
2013-11-30,4.505393258,5.19081259581152
2014-02-28,5.910248329,6.2971148624929825
2014-05-31,7.933935419,8.035310868412518
2014-08-31,5.193479561,4.718463084347496
2014-11-30,6.300674956,5.002220210701952
2015-02-28,7.051447106,6.520086674132113
2015-05-31,7.6878180039999995,8.583607077814305
2015-08-31,4.870708738,5.09470676017855
2015-11-30,6.538069815,5.466694361283212
2016-02-29,8.159773912999999,6.804630514582326
2016-05-31,7.322298246,8.749374372093953
2016-08-31,3.72341534,5.216543810197465
2016-11-30,4.998872727,5.681935154290088
2017-02-28,6.28398317,6.762058018995621
2017-05-31,6.933478261,7.73756285081327
2017-08-31,4.519528796,4.5262262655910845
2017-11-30,4.664603175,5.339441622078053
2018-02-28,6.562443559,6.418815074458216
2018-05-31,7.721836735,7.3910994880537375
2018-08-31,4.648548009,4.51825951721832
2018-11-30,6.169974811,5.20899509985434
2019-02-28,,6.765480297300136
2019-05-31,,7.80175890024472
2019-08-31,,4.722073371627245
2019-11-30,,5.3873954190419955
2020-02-29,,6.81467792433987
2020-05-31,,7.858389248439461
2020-08-31,,4.756287229934343
2020-11-30,,5.426359300551472
2021-02-28,,6.863875551379604
2021-05-31,,7.915019596634201
2021-08-31,,4.79050108824144
2021-11-30,,5.465323182060951
